recorded_at_utc,recorded_at,run_folder,condition_id,market_id,event_slug,question,window_start_utc,window_end_utc,direction,side,order_type,post_only,shares,price,amount_usd,order_id,execution_route,mode,outcome,settled,pnl_usd,pnl_source,final_pnl_usd
2026-05-30T16:43:45.375704+00:00,05-31 00:43:45,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x4f92cbbdcd490a9dd725d12f1d4fc24de889c3921a09c064bbbe397f65ece1d3,,btc-updown-5m-1780159500,"Bitcoin Up or Down - May 30, 12:45PM-12:50PM ET",2026-05-30T16:45:00+00:00,2026-05-30T16:50:00+00:00,UP,YES,GTC,False,5.0,0.51,2.55,0x9f5eed6f1a6ee8881929131b160cd1e3b227b33a51c09a96162e2f3fa89ff08c,direct_clob,live,,,,,
2026-05-30T16:43:51.514843+00:00,05-31 00:43:51,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x4f92cbbdcd490a9dd725d12f1d4fc24de889c3921a09c064bbbe397f65ece1d3,,btc-updown-5m-1780159500,"Bitcoin Up or Down - May 30, 12:45PM-12:50PM ET",2026-05-30T16:45:00+00:00,2026-05-30T16:50:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0xa8d0bc793ec8508b3a98a07c574a7d75ba43534c495201fc3a2066d3dd6ba61a,direct_clob,live,,,,,
2026-05-30T16:46:10.023731+00:00,05-31 00:46:10,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x3d90520f5626e12a82c2b35f155ce32ab8d0c0fcaf8e8f5becfdb50d26df261a,,btc-updown-5m-1780159800,"Bitcoin Up or Down - May 30, 12:50PM-12:55PM ET",2026-05-30T16:50:00+00:00,2026-05-30T16:55:00+00:00,UP,YES,GTC,False,5.0,0.51,2.55,0xdf37b5df7d5587ddde624fed1e3d3f42eddd10ba69159ca8dca9a8cd2afe6841,direct_clob,live,,,,,
2026-05-30T16:46:16.319048+00:00,05-31 00:46:16,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x3d90520f5626e12a82c2b35f155ce32ab8d0c0fcaf8e8f5becfdb50d26df261a,,btc-updown-5m-1780159800,"Bitcoin Up or Down - May 30, 12:50PM-12:55PM ET",2026-05-30T16:50:00+00:00,2026-05-30T16:55:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0x2591e8ed3fb2fa6f48ea4db3fd9129e4a99a96b6c001ef76ddc31898570602f5,direct_clob,live,,,,,
2026-05-30T16:50:14.595985+00:00,05-31 00:50:14,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x9f1b324bd0701a81edc8fe676ea4d8c466e7b49916de6b767d7ea9cbf6740a56,,btc-updown-5m-1780160100,"Bitcoin Up or Down - May 30, 12:55PM-1:00PM ET",2026-05-30T16:55:00+00:00,2026-05-30T17:00:00+00:00,UP,YES,GTC,False,5.0,0.51,2.55,0xa952d22135e63a6d787d6aac6c2ef3ffbb35e766a9930db3b274af9368c380be,direct_clob,live,,,,,
2026-05-30T16:50:21.060813+00:00,05-31 00:50:21,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-00-43-26_live,0x9f1b324bd0701a81edc8fe676ea4d8c466e7b49916de6b767d7ea9cbf6740a56,,btc-updown-5m-1780160100,"Bitcoin Up or Down - May 30, 12:55PM-1:00PM ET",2026-05-30T16:55:00+00:00,2026-05-30T17:00:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0x5dac61954c4e8f07d9730dcfec2f405e6ad5b885b54b2f87e4aefc1c111a61b7,direct_clob,live,,,,,
