recorded_at_utc,recorded_at,run_folder,condition_id,market_id,event_slug,question,window_start_utc,window_end_utc,direction,side,order_type,post_only,shares,price,amount_usd,order_id,execution_route,mode,outcome,settled,pnl_usd,pnl_source
2026-05-30T10:36:10.041989+00:00,05-30 18:36:10,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-18-35-44_dryrun,0x89d9680aa050da8380257c5c250c3810e3a70266b248dea690c9ec7244042895,,btc-updown-5m-1780137600,"Bitcoin Up or Down - May 30, 6:40AM-6:45AM ET",2026-05-30T10:40:00+00:00,2026-05-30T10:45:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x89d968-YES,direct_clob,paper,,,,
2026-05-30T10:36:15.908729+00:00,05-30 18:36:15,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-18-35-44_dryrun,0x89d9680aa050da8380257c5c250c3810e3a70266b248dea690c9ec7244042895,,btc-updown-5m-1780137600,"Bitcoin Up or Down - May 30, 6:40AM-6:45AM ET",2026-05-30T10:40:00+00:00,2026-05-30T10:45:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x89d968-DOWN,direct_clob,paper,,,,
