recorded_at_utc,recorded_at,run_folder,condition_id,market_id,event_slug,question,window_start_utc,window_end_utc,direction,side,order_type,post_only,shares,price,amount_usd,order_id,execution_route,mode,outcome,settled,pnl_usd,pnl_source,final_pnl_usd
2026-05-30T15:49:19.335120+00:00,05-30 23:49:19,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x25cb7434913affa5e485219758aaee0fe1e74e2113792d13e9732dc065b6d0bd,,btc-updown-5m-1780156200,"Bitcoin Up or Down - May 30, 11:50AM-11:55AM ET",2026-05-30T15:50:00+00:00,2026-05-30T15:55:00+00:00,UP,YES,GTC,False,10.0,0.49,4.9,DRY-0x25cb74-YES,direct_clob,paper,,,,,
2026-05-30T15:49:26.901570+00:00,05-30 23:49:26,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x25cb7434913affa5e485219758aaee0fe1e74e2113792d13e9732dc065b6d0bd,,btc-updown-5m-1780156200,"Bitcoin Up or Down - May 30, 11:50AM-11:55AM ET",2026-05-30T15:50:00+00:00,2026-05-30T15:55:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x25cb74-DOWN,direct_clob,paper,,,,,
2026-05-30T15:50:40.160280+00:00,05-30 23:50:40,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x93001a64e54e34442530301b9e697ec5c6a53ef1141acda63d23305a5528fc48,,btc-updown-5m-1780156500,"Bitcoin Up or Down - May 30, 11:55AM-12:00PM ET",2026-05-30T15:55:00+00:00,2026-05-30T16:00:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x93001a-YES,direct_clob,paper,,,,,
2026-05-30T15:50:57.991559+00:00,05-30 23:50:57,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x93001a64e54e34442530301b9e697ec5c6a53ef1141acda63d23305a5528fc48,,btc-updown-5m-1780156500,"Bitcoin Up or Down - May 30, 11:55AM-12:00PM ET",2026-05-30T15:55:00+00:00,2026-05-30T16:00:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x93001a-DOWN,direct_clob,paper,,,,,
2026-05-30T15:56:17.166846+00:00,05-30 23:56:17,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0xf38927ce5117bdaa83cae2740f56b1c1b07cf319be3a71ecff683535c24419a4,,btc-updown-5m-1780156800,"Bitcoin Up or Down - May 30, 12:00PM-12:05PM ET",2026-05-30T16:00:00+00:00,2026-05-30T16:05:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0xf38927-YES,direct_clob,paper,,,,,
2026-05-30T15:56:24.575434+00:00,05-30 23:56:24,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0xf38927ce5117bdaa83cae2740f56b1c1b07cf319be3a71ecff683535c24419a4,,btc-updown-5m-1780156800,"Bitcoin Up or Down - May 30, 12:00PM-12:05PM ET",2026-05-30T16:00:00+00:00,2026-05-30T16:05:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0xf38927-DOWN,direct_clob,paper,,,,,
2026-05-30T16:00:29.660148+00:00,05-31 00:00:29,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x334507a2008e311955e4c1dd9c8c50f37da7c358c0889f2ad2a7c4b0ec7f861f,,btc-updown-5m-1780157100,"Bitcoin Up or Down - May 30, 12:05PM-12:10PM ET",2026-05-30T16:05:00+00:00,2026-05-30T16:10:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x334507-YES,direct_clob,paper,,,,,
2026-05-30T16:00:38.527509+00:00,05-31 00:00:38,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x334507a2008e311955e4c1dd9c8c50f37da7c358c0889f2ad2a7c4b0ec7f861f,,btc-updown-5m-1780157100,"Bitcoin Up or Down - May 30, 12:05PM-12:10PM ET",2026-05-30T16:05:00+00:00,2026-05-30T16:10:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x334507-DOWN,direct_clob,paper,,,,,
2026-05-30T15:49:19.335120+00:00,05-31 00:00:41,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x25cb7434913affa5e485219758aaee0fe1e74e2113792d13e9732dc065b6d0bd,,btc-updown-5m-1780156200,"Bitcoin Up or Down - May 30, 11:50AM-11:55AM ET",2026-05-30T15:50:00+00:00,2026-05-30T15:55:00+00:00,UP,YES,GTC,False,10.0,0.49,4.9,DRY-0x25cb74-YES,direct_clob,paper,UP,True,-4.9,settlement_only,-4.9
2026-05-30T15:49:26.901570+00:00,05-31 00:00:44,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x25cb7434913affa5e485219758aaee0fe1e74e2113792d13e9732dc065b6d0bd,,btc-updown-5m-1780156200,"Bitcoin Up or Down - May 30, 11:50AM-11:55AM ET",2026-05-30T15:50:00+00:00,2026-05-30T15:55:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x25cb74-DOWN,direct_clob,paper,UP,True,-4.0,settlement_only,-4.0
2026-05-30T15:50:40.160280+00:00,05-31 00:03:34,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x93001a64e54e34442530301b9e697ec5c6a53ef1141acda63d23305a5528fc48,,btc-updown-5m-1780156500,"Bitcoin Up or Down - May 30, 11:55AM-12:00PM ET",2026-05-30T15:55:00+00:00,2026-05-30T16:00:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x93001a-YES,direct_clob,paper,DOWN,True,-5.1,settlement_only,-5.1
2026-05-30T15:50:57.991559+00:00,05-31 00:03:36,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-48-59_dryrun,0x93001a64e54e34442530301b9e697ec5c6a53ef1141acda63d23305a5528fc48,,btc-updown-5m-1780156500,"Bitcoin Up or Down - May 30, 11:55AM-12:00PM ET",2026-05-30T15:55:00+00:00,2026-05-30T16:00:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x93001a-DOWN,direct_clob,paper,DOWN,True,-4.0,settlement_only,-4.0
